novel_id,title,title_eng,synopsis,type,n_chapters,authors,genres,n_volumes,status,score,scored_by,popularty,favorites,year_start,year_finnish,image
143441,Omniscient Reader's Viewpoint,Omniscient Reader's Viewpoint,"In the web novel Three Ways to Survive the Apocalypse, people are forced to fight monsters and each other for coins, food, and—ultimately—survival. While mysterious ""Constellations"" watch the unwilling participants for their own entertainment, one man emerges as the protagonist: Yoo Joonghyuk, who repeatedly lives and dies in an endless struggle to close the book on this indiscriminate torture. Kim Dokja has lived a challenging and action-packed life through Joonghyuk for over a decade. While other readers abandoned the story early on, Dokja has remained its sole reader until the very last chapter. At that time, he receives a puzzling message from the author, and the novel's inhumane world suddenly becomes reality. As the only person aware of what lies ahead, Dokja realizes that he must utilize his omniscience to navigate the deadly scenarios and stay alive. Dokja was never meant to play a main part, but in defiance of those who wish to spell his fate, he might just have to take the lead in writing his own conclusion. [Written by MAL Rewrite]",Novel,105.0,sing N song,"Action,Adventure,Fantasy",20.0,Finished,9.03,4673.0,1844,1220,2022.0,2023.0,https://cdn.myanimelist.net/images/manga/1/265768.jpg
126479,Mikkakan no Koufuku,Three Days of Happiness,"Kusunoki used to believe he was destined for great things. Ostracized as a child, he held on to a belief that a good life was waiting for him in the years ahead. Now approaching the age of twenty, he's a completely mediocre college student with no motivation, no dreams, and no money. After learning he can sell his remaining years—and just how little they're worth—he chooses to divest himself of all but his last three months. Has Kusunoki truly destroyed his last chance to find happiness...or has he somehow found it? (Source: Yen Press)",Novel,15.0,Miaki Sugaru,Drama,1.0,Finished,8.88,10015.0,578,1295,2013.0,,https://cdn.myanimelist.net/images/manga/3/248674.jpg
117077,Kimi no Suizou wo Tabetai,I Want to Eat Your Pancreas,"A high school boy finds the diary of his classmate—only to discover that she's dying. Sakura Yamauchi has been silently suffering from a pancreatic disease, and now exactly one person outside her family knows. He swears to her that he won't tell anyone what he learned, and the shared secret brings them closer together in this deeply moving, first-person story that traces their developing relationship in Sakura's final months of life. (Source: Seven Seas Entertainment)",Novel,10.0,Sumino Yoru,"Drama,Romance",1.0,Finished,8.65,3415.0,2607,407,2015.0,,https://cdn.myanimelist.net/images/manga/2/248632.jpg
35513,Koten-bu Series,,"Houtarou Oreki is a high school student who lives his life conserving as much energy as possible, only delving into matters that feel absolutely necessary to him. So when his older sister forces him to join the Classics Club to keep it from disbanding, he finds himself terribly inconvenienced. To his surprise, Oreki finds that the Classics Club already has a single member: the inquisitive Eru Chitanda. Not long after, Oreki's friends—the knowledgeable Satoshi Fukube and the headstrong Mayaka Ibara—also join. Although the club does not have any set activities, Chitanda's constant curiosity soon begins to drag the members into all sorts of mystery-solving escapades. Koten-bu Series revolves around the members of the Classics Club as their eccentric day-to-day activities slowly begin to brighten up Oreki's drab way of life. [Written by MAL Rewrite]",Novel,,Yonezawa Honobu,"Adventure,Mystery,School",,Publishing,8.61,3647.0,1013,618,2001.0,,https://cdn.myanimelist.net/images/manga/3/80983.jpg
6978,Ginga Eiyuu Densetsu,Legend of the Galactic Heroes,"In the far future, two young military leaders rise above their peers. The invincible genius Reinhard von Lohengramm is matched only by the unbeatable magician Yang Wen-li; though the two share a profound respect for each other, they meet on the battlefield not as comrades but as bitter adversaries. Commanding thousands of warships and millions of soldiers, they lead giant space fleets into battle on behalf of the two interstellar states that have wrested for control of the Milky Way for over a century and a half. The Galactic Empire, an absolute monarchy ruled by Kaiser Friedrich von Goldenbaum IV and an entrenched nobility, seeks to suppress the rebels daring to oppose the inviolable crown. The Free Planets Alliance, a representative democracy led by a corrupt High Council, degenerates as its elected leaders⁠ use war and conflict as a way to win popular support. Reinhard is a minor noble who became a High Admiral through his strategic brilliance and his sister's position as the favored concubine of the Kaiser, while Yang is an avid historian and reluctant commodore hailed as a hero despite only using his tactical prowess to navigate around his leaders' incompetence. On opposite sides of the galaxy, the two men have wildly different visions for the future: Reinhard dreams of uniting mankind under his iron fist, while Yang wants only to carve a path to lasting peace. As the war rages on, Reinhard and Yang each strive for their ideals and secure their place among the stars as the leaders of a new era of galactic heroes. [Written by MAL Rewrite]",Novel,94.0,"Tanaka Yoshiki,Katou Naoyuki,Kamoshita Yukihisa","Action,Adventure,Drama,Sci-Fi,Adult Cast,Military,Space",10.0,Finished,8.6,2080.0,1984,310,1982.0,1987.0,https://cdn.myanimelist.net/images/manga/5/155231.jpg
119184,Solo Leveling,Solo Leveling,"E-rank hunter Jinwoo Sung has no money, no talent, and no prospects to speak of—and apparently, no luck, either! When he enters a hidden double dungeon one fateful day, he's abandoned by his party and left to die at the hands of some of the most horrific monsters he's ever encountered. But just before the last, fatal blow... PING! [Congratulations on becoming a Player.] (Source: Yen Press)",Novel,150.0,Chugong,"Action,Adventure,Fantasy,Adult Cast",13.0,Finished,8.42,3866.0,2760,1559,2016.0,2017.0,https://cdn.myanimelist.net/images/manga/3/265759.jpg
26728,No.6,,"The year is 2013 in the city of No. 6, the city that embodies the highest ideals of humankind. Shion has been raised here as a high-ranking elite since the age of two, but on the night of his twelfth birthday his fate is turned upside-down when he meets a boy who calls himself Nezumi. ""Why did I open the window that night? If I had not, I'd never have needed to know what it is like to fight, starve, or suffer in anguish...."" (Source: Nostalgia on 9th Avenue)",Novel,43.0,Asano Atsuko,"Action,Mystery,Sci-Fi",9.0,Finished,8.39,5624.0,857,996,2003.0,2011.0,https://cdn.myanimelist.net/images/manga/2/129825.jpg
121781,Shousetsu Kimi no Na wa.,Your Name.,"Mitsuha, a high school girl living in a rural town deep in the mountains, has a dream that she is a boy living an unfamiliar life in Tokyo. Taki, a high school boy living in Tokyo, dreams that he is a girl living in the mountains. As they realize they are changing places, their encounter sets the cogs of fate into motion. (Source: Yen Press)",Novel,8.0,Shinkai Makoto,"Drama,Supernatural,Romantic Subtext",1.0,Finished,8.32,2971.0,2820,144,2016.0,,https://cdn.myanimelist.net/images/manga/2/230890.jpg
7458,Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken,Death Note Another Note: The Los Angeles BB Murder Cases,"A serial killer terrorizes the streets of Los Angeles. This brilliant psychopath commits seemingly perfect murders, brazenly challenging the police with cryptic riddles. The enigmatic and world-famous detective L has been hired to crack the case. However, to keep himself out of the public eye, L seeks out FBI agent Naomi Misora to carry out the investigation for him. Misora agrees to aid L's endeavors, but soon finds herself caught up in an intense battle of wits between L and the culprit. Who is this mysterious killer, and why do they leave clues for the LAPD to decipher? Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken follows Misora on her journey to solve these mysteries and bring the indiscriminate murders to an end once and for all. [Written by MAL Rewrite]",Novel,7.0,"Obata Takeshi,NISIO ISIN",Mystery,1.0,Finished,8.3,16806.0,490,904,2006.0,,https://cdn.myanimelist.net/images/manga/1/253578.jpg
119282,NHK ni Youkoso!,Welcome to the N.H.K.,"Tatsuhiro Satou, a university dropout entering his fourth year of unemployment. He leads a reclusive life as a hikikomori, ultimately coming to the bizarre conclusion that this happened due to some sort of conspiracy. One day just when his life seems entirely unchanging, he meets Misaki Nakahara, a mysterious girl who claims to be able to cure Tatsuhiro of his hikikomori ways. She presents him with a contract basically outlining that once a day they would meet in the evening in a local park where Misaki would lecture to Tatsuhiro in an effort to rid him of his lifestyle. During these outings, many subjects are discussed, though they almost always pertain in some way to psychology or psychoanalysis.",Novel,12.0,Takimoto Tatsuhiko,"Comedy,Drama,Romance,Psychological",1.0,Finished,8.28,1539.0,4121,237,2002.0,,https://cdn.myanimelist.net/images/manga/1/248549.jpg
